"id","user_id","time","duration","X","Y","key","tagName","tagId"
412,29,1677169821121,101,964,410,0,NULL,NULL
413,29,1677169821646,122,943,371,0,NULL,NULL
414,29,1677169822754,87,1514,51,0,NULL,NULL
415,31,1677170157886,136,695,144,0,NULL,NULL
416,31,1677170163325,79,1116,137,0,NULL,NULL
417,3,1677150276929,88,360,114,0,NULL,NULL
418,32,1677171878402,127,1318,49,0,NULL,NULL
419,32,1677171879863,120,1236,114,0,NULL,NULL
420,32,1677171882514,136,908,463,0,NULL,NULL
421,32,1677171883995,128,745,374,0,NULL,NULL
422,32,1677171884547,104,759,419,0,NULL,NULL
423,32,1677171884986,120,782,456,0,NULL,NULL
424,32,1677171885538,128,756,518,0,NULL,NULL
425,32,1677171889314,104,586,514,0,NULL,NULL
426,32,1677171887930,480,525,509,0,NULL,NULL
427,32,1677171890463,440,603,571,0,NULL,NULL
428,32,1677171891049,128,827,506,0,NULL,NULL
429,3,1677150289921,88,175,134,0,NULL,NULL
430,32,1677171892393,112,779,568,0,NULL,NULL
431,32,1677171895564,136,802,667,0,NULL,NULL
432,32,1677171897179,137,770,464,0,NULL,NULL
433,3,1677150303209,72,880,131,0,NULL,NULL
434,32,1677171903794,153,808,676,0,NULL,NULL
435,32,1677171907755,112,778,478,0,NULL,NULL
436,32,1677171909298,120,920,615,0,NULL,NULL
437,32,1677171910324,152,756,369,0,NULL,NULL
438,32,1677171910866,112,759,420,0,NULL,NULL
439,3,1677150309453,215,615,420,0,NULL,NULL
440,3,1677150315705,96,1213,38,0,NULL,NULL
441,3,1677150316849,96,1164,39,0,NULL,NULL
442,3,1677150319001,56,1115,132,0,NULL,NULL
443,32,1677171920242,136,1133,138,0,NULL,NULL
444,3,1677150320913,96,980,237,0,NULL,NULL
445,3,1677150321369,96,1128,31,0,NULL,NULL
446,32,1677171924530,153,931,139,0,NULL,NULL
447,3,1677150325593,80,399,121,0,NULL,NULL
448,3,1677150328873,88,776,633,0,NULL,NULL
