duration,interArrivalTime,Type
101,43.0,Human
159,471.0,Human
320,13.0,Human
90,702.0,Human
95,184.0,Human
105,156.0,Human
85,99.0,Human
85,246.0,Human
110,1460.0,Human
120,65.0,Human
109,151.0,Human
96,61.0,Human
100,694.0,Human
100,130.0,Human
95,99.0,Human
90,131.0,Human
146,270.0,Human
106,44.0,Human
98,1051.0,Human
125,116.0,Human
115,33.0,Human
291,587.0,Human
129,13.0,Human
89,776.0,Human
75,105.0,Human
71,125.0,Human
59,99.0,Human
99,291.0,Human
72,742.0,Human
154,254.0,Human
145,33.0,Human
55,186.0,Human
80,184.0,Human
371,102.0,Human
110,1784.0,Human
75,79.0,Human
121,142.0,Human
149,324.0,Human
95,15.0,Human
84,1180.0,Human
308,2443.0,Human
75,1045.0,Human
116,3725.0,Human
123,2267.0,Human
400,1192.0,Human
110,3392.0,Human
86,4479.0,Human
141,2834.0,Human
95,1286.0,Human
142,1467.0,Human
105,125.0,Human
88,369.0,Human
56,2320.0,Human
72,440.0,Human
40,1120.0,Human
80,1272.0,Human
56,888.0,Human
72,368.0,Human
64,320.0,Human
72,2168.0,Human
40,1216.0,Human
72,544.0,Human
56,1344.0,Human
80,2232.0,Human
64,1224.0,Human
31,4543.0,Human
64,553.0,Human
41,2728.0,Human
88,1640.0,Human
64,584.0,Human
64,80.0,Human
96,519.0,Human
172,309.0,Human
90,979.0,Human
97,3488.0,Human
106,1852.0,Human
63,935.0,Human
76,1475.0,Human
84,3562.0,Human
86,1530.0,Human
90,4833.0,Human
98,492.0,Human
71,227.0,Human
89,1905.0,Human
86,3737.0,Human
77,1356.0,Human
105,2739.0,Human
160,3602.0,Human
80,407.0,Bot
151,508.0,Bot
93,499.0,Bot
64,464.0,Bot
131,948.0,Bot
153,418.0,Bot
113,464.0,Bot
114,350.0,Bot
77,530.0,Bot
133,533.0,Bot
81,331.0,Bot
118,473.0,Bot
93,525.0,Bot
126,579.0,Bot
159,565.0,Bot
157,415.0,Bot
79,453.0,Bot
84,1702.0,Bot
103,543.0,Bot
122,579.0,Bot
90,333.0,Bot
58,1102.0,Bot
106,422.0,Bot
145,543.0,Bot
135,580.0,Bot
134,270.0,Bot
126,306.0,Bot
97,292.0,Bot
149,331.0,Bot
55,123.0,Bot
107,295.0,Bot
75,154.0,Bot
145,267.0,Bot
110,259.0,Bot
150,323.0,Bot
70,232.0,Bot
66,248.0,Bot
116,327.0,Bot
112,321.0,Bot
72,208.0,Bot
84,147.0,Bot
91,254.0,Bot
77,223.0,Bot
152,311.0,Bot
151,274.0,Bot
111,480.0,Bot
