user_id,duration,interArrivalTime,Type
9,125,152.0,Human
9,79,86.0,Human
9,125,163.0,Human
9,78,217.0,Human
9,93,153.0,Human
9,78,105.0,Human
9,141,139.0,Human
9,125,54.0,Human
9,110,119.0,Human
9,125,132.0,Human
9,78,48.0,Human
9,62,280.0,Human
9,141,455.0,Human
9,93,122.0,Human
9,77,546.0,Human
9,109,125.0,Human
9,94,76.0,Human
9,157,222.0,Human
9,109,3.0,Human
9,94,102.0,Human
9,94,125.0,Human
9,77,74.0,Human
9,109,242.0,Human
9,94,232.0,Human
9,77,80.0,Human
9,47,172.0,Human
9,94,172.0,Human
9,110,184.0,Human
9,110,148.0,Human
9,125,171.0,Human
9,94,155.0,Human
9,110,118.0,Human
9,64,92.0,Human
9,78,156.0,Human
9,79,111.0,Human
9,109,135.0,Human
9,93,193.0,Human
9,110,657.0,Human
9,94,166.0,Human
9,111,137.0,Human
9,63,76.0,Human
9,109,144.0,Human
9,62,133.0,Human
9,80,184.0,Human
9,126,185.0,Human
9,125,49.0,Human
9,78,139.0,Human
9,125,187.0,Human
9,125,137.0,Human
9,93,78.0,Human
9,63,1489.0,Human
9,46,132.0,Human
9,63,122.0,Human
9,93,127.0,Human
9,62,124.0,Human
9,110,338.0,Human
9,62,61.0,Human
9,110,192.0,Human
9,62,408.0,Human
9,94,127.0,Human
9,77,148.0,Human
9,110,105.0,Human
9,124,394.0,Human
9,124,200.0,Human
9,109,981.0,Human
9,78,128.0,Human
9,141,182.0,Human
9,110,92.0,Human
9,125,183.0,Human
9,77,1159.0,Human
9,78,105.0,Human
9,79,102.0,Human
9,95,277.0,Human
9,64,85.0,Human
9,94,126.0,Human
9,170,263.0,Human
9,124,81.0,Human
9,79,339.0,Human
9,95,172.0,Human
9,157,177.0,Human
9,139,202.0,Human
9,141,2669.0,Human
9,63,31.0,Human
9,48,161.0,Human
9,109,183.0,Human
9,125,111.0,Human
9,110,163.0,Human
9,110,148.0,Human
9,78,751.0,Human
12,1459,13.0,Human
